Subject,Body,manual_label
Update to HR policies,We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.,HR / Personal
New hire onboarding,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Thanks!",HR / Personal
New hire onboarding,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Talk soon.",HR / Personal
Candidate availability,"The candidate is available Monday and Tuesday mornings next week. I've held a few slots.

Talk soon.",HR / Personal
New hire onboarding,We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.,HR / Personal
New hire onboarding,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Talk soon.",HR / Personal
Time-off request,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Thanks!",HR / Personal
Candidate availability,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Thoughts?",HR / Personal
PTO approval needed,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Talk soon.",HR / Personal
Candidate availability,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Thanks!",HR / Personal
Candidate availability,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Thoughts?",HR / Personal
Time-off request,Just submitted a vacation request in Workday please let me know if anything further is needed.,HR / Personal
New hire onboarding,Just submitted a vacation request in Workday please let me know if anything further is needed.,HR / Personal
New hire onboarding,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Talk soon.",HR / Personal
Time-off request,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Let me know if that works.",HR / Personal
Time-off request,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Thoughts?",HR / Personal
Time-off request,"We received updated benefits information for 2024. Highlights include increased dental coverage and mental health support.

Thoughts?",HR / Personal
Update to HR policies,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Thanks!",HR / Personal
Update to HR policies,Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.,HR / Personal
New hire onboarding,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Thoughts?",HR / Personal
PTO approval needed,The candidate is available Monday and Tuesday mornings next week. I've held a few slots.,HR / Personal
Time-off request,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Talk soon.",HR / Personal
Candidate availability,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Thanks!",HR / Personal
Candidate availability,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Let me know if that works.",HR / Personal
Update to HR policies,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Let me know if that works.",HR / Personal
PTO approval needed,"Per the updated PTO policy, requests over 5 days must be routed through the system.",HR / Personal
Time-off request,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Thanks!",HR / Personal
PTO approval needed,Just submitted a vacation request in Workday please let me know if anything further is needed.,HR / Personal
Candidate availability,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Let me know if that works.",HR / Personal
New hire onboarding,"Can you confirm next steps for the onboarding checklist? I believe IT hasn't provisioned email yet.

Talk soon.",HR / Personal
PTO approval needed,"Per the updated PTO policy, requests over 5 days must be routed through the system.

Let me know if that works.",HR / Personal
Time-off request,"Just submitted a vacation request in Workday please let me know if anything further is needed.

Thoughts?",HR / Personal
Legal approval pending,The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.,Legal / Compliance
Contract draft review,Attached is a clean version of the contract with all revisions from last week incorporated.,Legal / Compliance
Compliance deadline,"Attached is a clean version of the contract with all revisions from last week incorporated.

Let me know if that works.",Legal / Compliance
Compliance deadline,"Reminder: all employees must complete data privacy training by end of month.

Talk soon.",Legal / Compliance
NDA from vendor,"Reminder: all employees must complete data privacy training by end of month.

Thanks!",Legal / Compliance
Compliance deadline,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Talk soon.",Legal / Compliance
Compliance deadline,We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.,Legal / Compliance
Legal approval pending,"Reminder: all employees must complete data privacy training by end of month.

Talk soon.",Legal / Compliance
Contract draft review,The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.,Legal / Compliance
Legal approval pending,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Talk soon.",Legal / Compliance
Contract draft review,"Attached is a clean version of the contract with all revisions from last week incorporated.

Talk soon.",Legal / Compliance
Compliance deadline,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Let me know if that works.",Legal / Compliance
Legal approval pending,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Thanks!",Legal / Compliance
Legal approval pending,"Reminder: all employees must complete data privacy training by end of month.

Let me know if that works.",Legal / Compliance
NDA from vendor,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Let me know if that works.",Legal / Compliance
Contract draft review,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.",Legal / Compliance
Legal approval pending,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Let me know if that works.",Legal / Compliance
Legal approval pending,"Reminder: all employees must complete data privacy training by end of month.

Thanks!",Legal / Compliance
Compliance deadline,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Thoughts?",Legal / Compliance
Compliance deadline,Reminder: all employees must complete data privacy training by end of month.,Legal / Compliance
NDA from vendor,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.",Legal / Compliance
Legal approval pending,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Talk soon.",Legal / Compliance
NDA from vendor,"Attached is a clean version of the contract with all revisions from last week incorporated.

Thoughts?",Legal / Compliance
Compliance deadline,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Talk soon.",Legal / Compliance
NDA from vendor,"Reminder: all employees must complete data privacy training by end of month.

Let me know if that works.",Legal / Compliance
NDA from vendor,Reminder: all employees must complete data privacy training by end of month.,Legal / Compliance
Contract draft review,"Attached is a clean version of the contract with all revisions from last week incorporated.

Thanks!",Legal / Compliance
Policy clarification,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Thanks!",Legal / Compliance
Policy clarification,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Thanks!",Legal / Compliance
Compliance deadline,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Thoughts?",Legal / Compliance
Compliance deadline,Attached is a clean version of the contract with all revisions from last week incorporated.,Legal / Compliance
Legal approval pending,Attached is a clean version of the contract with all revisions from last week incorporated.,Legal / Compliance
Policy clarification,"Reminder: all employees must complete data privacy training by end of month.

Thoughts?",Legal / Compliance
Compliance deadline,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Thanks!",Legal / Compliance
Policy clarification,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Thoughts?",Legal / Compliance
Policy clarification,Reminder: all employees must complete data privacy training by end of month.,Legal / Compliance
NDA from vendor,Attached is a clean version of the contract with all revisions from last week incorporated.,Legal / Compliance
Legal approval pending,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.",Legal / Compliance
Policy clarification,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Talk soon.",Legal / Compliance
Legal approval pending,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Let me know if that works.",Legal / Compliance
Contract draft review,We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.,Legal / Compliance
NDA from vendor,We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.,Legal / Compliance
Policy clarification,"Attached is a clean version of the contract with all revisions from last week incorporated.

Thoughts?",Legal / Compliance
Legal approval pending,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Thoughts?",Legal / Compliance
Policy clarification,"Reminder: all employees must complete data privacy training by end of month.

Let me know if that works.",Legal / Compliance
Policy clarification,The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.,Legal / Compliance
Contract draft review,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Let me know if that works.",Legal / Compliance
Policy clarification,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.",Legal / Compliance
Contract draft review,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Let me know if that works.",Legal / Compliance
Policy clarification,"Attached is a clean version of the contract with all revisions from last week incorporated.

Talk soon.",Legal / Compliance
Legal approval pending,We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.,Legal / Compliance
Contract draft review,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Thoughts?",Legal / Compliance
Legal approval pending,"Attached is a clean version of the contract with all revisions from last week incorporated.

Thanks!",Legal / Compliance
Policy clarification,We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.,Legal / Compliance
Legal approval pending,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Thanks!",Legal / Compliance
Contract draft review,Reminder: all employees must complete data privacy training by end of month.,Legal / Compliance
NDA from vendor,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Talk soon.",Legal / Compliance
Compliance deadline,"Attached is a clean version of the contract with all revisions from last week incorporated.

Talk soon.",Legal / Compliance
NDA from vendor,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Thoughts?",Legal / Compliance
NDA from vendor,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Let me know if that works.",Legal / Compliance
Policy clarification,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Thoughts?",Legal / Compliance
Legal approval pending,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Talk soon.",Legal / Compliance
Compliance deadline,"Reminder: all employees must complete data privacy training by end of month.

Let me know if that works.",Legal / Compliance
Legal approval pending,"Attached is a clean version of the contract with all revisions from last week incorporated.

Talk soon.",Legal / Compliance
NDA from vendor,"Attached is a clean version of the contract with all revisions from last week incorporated.

Talk soon.",Legal / Compliance
Legal approval pending,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Let me know if that works.",Legal / Compliance
Policy clarification,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Thoughts?",Legal / Compliance
Contract draft review,"Reminder: all employees must complete data privacy training by end of month.

Thanks!",Legal / Compliance
Policy clarification,Attached is a clean version of the contract with all revisions from last week incorporated.,Legal / Compliance
Compliance deadline,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Talk soon.",Legal / Compliance
Compliance deadline,"Reminder: all employees must complete data privacy training by end of month.

Thanks!",Legal / Compliance
NDA from vendor,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Let me know if that works.",Legal / Compliance
Contract draft review,"Attached is a clean version of the contract with all revisions from last week incorporated.

Thoughts?",Legal / Compliance
Contract draft review,"Attached is a clean version of the contract with all revisions from last week incorporated.

Let me know if that works.",Legal / Compliance
NDA from vendor,"Attached is a clean version of the contract with all revisions from last week incorporated.

Thanks!",Legal / Compliance
Policy clarification,"Reminder: all employees must complete data privacy training by end of month.

Talk soon.",Legal / Compliance
Policy clarification,"Attached is a clean version of the contract with all revisions from last week incorporated.

Thanks!",Legal / Compliance
NDA from vendor,The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.,Legal / Compliance
Compliance deadline,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.",Legal / Compliance
Compliance deadline,The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.,Legal / Compliance
Contract draft review,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Thoughts?",Legal / Compliance
Legal approval pending,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Thanks!",Legal / Compliance
Policy clarification,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Thanks!",Legal / Compliance
Contract draft review,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Thanks!",Legal / Compliance
Policy clarification,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Let me know if that works.",Legal / Compliance
Compliance deadline,"Attached is a clean version of the contract with all revisions from last week incorporated.

Thoughts?",Legal / Compliance
Legal approval pending,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Thoughts?",Legal / Compliance
Contract draft review,"We've received a legal notice regarding potential IP overlap with a competitor. Counsel is reviewing.

Talk soon.",Legal / Compliance
NDA from vendor,"Attached is a clean version of the contract with all revisions from last week incorporated.

Let me know if that works.",Legal / Compliance
Contract draft review,"The vendor submitted their redline on clause 14.2. Legal is requesting your sign-off before moving forward.

Talk soon.",Legal / Compliance
Legal approval pending,Reminder: all employees must complete data privacy training by end of month.,Legal / Compliance
NDA from vendor,"Policy 302A is under review, but the clause regarding external partnerships is not expected to change.

Talk soon.",Legal / Compliance
Project delay notice,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Let me know if that works.",Project Update
Phase 1 completion,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Let me know if that works.",Project Update
Phase 1 completion,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Thoughts?",Project Update
Phase 1 completion,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Thanks!",Project Update
Phase 1 completion,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Let me know if that works.",Project Update
Phase 1 completion,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Let me know if that works.",Project Update
Progress on milestone 3,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Let me know if that works.",Project Update
Project delay notice,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Let me know if that works.",Project Update
Progress on milestone 3,Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.,Project Update
Sprint 12 summary,Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.,Project Update
Sprint 12 summary,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Let me know if that works.",Project Update
Sprint 12 summary,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Let me know if that works.",Project Update
Sprint 12 summary,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Thoughts?",Project Update
Phase 1 completion,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Talk soon.",Project Update
Weekly status update,Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.,Project Update
Project delay notice,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Thoughts?",Project Update
Phase 1 completion,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Thoughts?",Project Update
Weekly status update,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.",Project Update
Project delay notice,Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.,Project Update
Sprint 12 summary,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Let me know if that works.",Project Update
Progress on milestone 3,Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.,Project Update
Weekly status update,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Thoughts?",Project Update
Progress on milestone 3,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Talk soon.",Project Update
Sprint 12 summary,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Thanks!",Project Update
Progress on milestone 3,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Thanks!",Project Update
Project delay notice,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Let me know if that works.",Project Update
Project delay notice,We've encountered a delay due to resource unavailability revised timeline is being drafted.,Project Update
Sprint 12 summary,We've encountered a delay due to resource unavailability revised timeline is being drafted.,Project Update
Project delay notice,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Talk soon.",Project Update
Phase 1 completion,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Thanks!",Project Update
Weekly status update,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Let me know if that works.",Project Update
Sprint 12 summary,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Thoughts?",Project Update
Progress on milestone 3,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Thanks!",Project Update
Progress on milestone 3,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Thoughts?",Project Update
Weekly status update,Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.,Project Update
Weekly status update,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Thanks!",Project Update
Sprint 12 summary,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Thoughts?",Project Update
Phase 1 completion,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Talk soon.",Project Update
Project delay notice,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Talk soon.",Project Update
Phase 1 completion,We've encountered a delay due to resource unavailability revised timeline is being drafted.,Project Update
Sprint 12 summary,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.",Project Update
Sprint 12 summary,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Thanks!",Project Update
Progress on milestone 3,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Let me know if that works.",Project Update
Weekly status update,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Thoughts?",Project Update
Sprint 12 summary,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Talk soon.",Project Update
Weekly status update,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Thanks!",Project Update
Weekly status update,Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.,Project Update
Progress on milestone 3,We've encountered a delay due to resource unavailability revised timeline is being drafted.,Project Update
Project delay notice,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Thoughts?",Project Update
Weekly status update,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Thanks!",Project Update
Sprint 12 summary,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Talk soon.",Project Update
Phase 1 completion,Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.,Project Update
Sprint 12 summary,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Thoughts?",Project Update
Phase 1 completion,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Thoughts?",Project Update
Phase 1 completion,Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.,Project Update
Project delay notice,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Thoughts?",Project Update
Progress on milestone 3,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Thoughts?",Project Update
Phase 1 completion,Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.,Project Update
Project delay notice,Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.,Project Update
Sprint 12 summary,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Talk soon.",Project Update
Phase 1 completion,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.",Project Update
Project delay notice,Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.,Project Update
Sprint 12 summary,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Thanks!",Project Update
Progress on milestone 3,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.",Project Update
Project delay notice,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Thanks!",Project Update
Sprint 12 summary,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Talk soon.",Project Update
Progress on milestone 3,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Let me know if that works.",Project Update
Sprint 12 summary,Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.,Project Update
Project delay notice,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.",Project Update
Project delay notice,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Thoughts?",Project Update
Phase 1 completion,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Let me know if that works.",Project Update
Weekly status update,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Thoughts?",Project Update
Progress on milestone 3,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Thanks!",Project Update
Phase 1 completion,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Thanks!",Project Update
Weekly status update,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Thanks!",Project Update
Weekly status update,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Thoughts?",Project Update
Sprint 12 summary,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Let me know if that works.",Project Update
Weekly status update,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Talk soon.",Project Update
Project delay notice,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Let me know if that works.",Project Update
Phase 1 completion,"We've encountered a delay due to resource unavailability revised timeline is being drafted.

Thoughts?",Project Update
Weekly status update,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Talk soon.",Project Update
Phase 1 completion,"Here's the full update covering dev, QA, and stakeholder feedback from this week's review.

Thanks!",Project Update
Progress on milestone 3,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Talk soon.",Project Update
Sprint 12 summary,Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.,Project Update
Progress on milestone 3,Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.,Project Update
Phase 1 completion,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Talk soon.",Project Update
Weekly status update,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Let me know if that works.",Project Update
Phase 1 completion,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Thoughts?",Project Update
Project delay notice,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Let me know if that works.",Project Update
Weekly status update,"Phase 1 has officially wrapped and we're transitioning to implementation. See summary deck attached.

Let me know if that works.",Project Update
Weekly status update,"Milestone 3 is nearly done QA feedback has been positive overall. Docs to follow.

Let me know if that works.",Project Update
Sprint 12 summary,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Thanks!",Project Update
Project delay notice,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Thanks!",Project Update
Phase 1 completion,"Sprint velocity remained steady but story spillover increased. We'll need to re-evaluate task scoping.

Talk soon.",Project Update
Weekly status update,We've encountered a delay due to resource unavailability revised timeline is being drafted.,Project Update
Action needed on report,Please assign an owner to the final doc edits and send to publishing.,Request / Action Item
Can you take this?,Can you take the lead on documenting this process? It needs to go into the wiki this week.,Request / Action Item
Request for input,"Hoping to get your approval on the vendor shortlist by COB today.

Let me know if that works.",Request / Action Item
Need approval,"Please assign an owner to the final doc edits and send to publishing.

Thanks!",Request / Action Item
Can you take this?,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Let me know if that works.",Request / Action Item
Request for input,Please review the attached summary and send me your notes before our meeting at 3.,Request / Action Item
Can you take this?,"Please assign an owner to the final doc edits and send to publishing.

Talk soon.",Request / Action Item
Task follow-up,We need to respond to the partner inquiry by Friday can someone own that?,Request / Action Item
Can you take this?,"Please review the attached summary and send me your notes before our meeting at 3.

Thanks!",Request / Action Item
Can you take this?,"Please assign an owner to the final doc edits and send to publishing.

Thoughts?",Request / Action Item
Can you take this?,"Please review the attached summary and send me your notes before our meeting at 3.

Talk soon.",Request / Action Item
Action needed on report,"We need to respond to the partner inquiry by Friday can someone own that?

Thanks!",Request / Action Item
Can you take this?,"Please review the attached summary and send me your notes before our meeting at 3.

Thoughts?",Request / Action Item
Need approval,"Please review the attached summary and send me your notes before our meeting at 3.

Let me know if that works.",Request / Action Item
Action needed on report,Please review the attached summary and send me your notes before our meeting at 3.,Request / Action Item
Task follow-up,"Please review the attached summary and send me your notes before our meeting at 3.

Thanks!",Request / Action Item
Task follow-up,"Please assign an owner to the final doc edits and send to publishing.

Let me know if that works.",Request / Action Item
Action needed on report,"Please review the attached summary and send me your notes before our meeting at 3.

Thanks!",Request / Action Item
Need approval,Hoping to get your approval on the vendor shortlist by COB today.,Request / Action Item
Can you take this?,Please review the attached summary and send me your notes before our meeting at 3.,Request / Action Item
Task follow-up,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Let me know if that works.",Request / Action Item
Need approval,"Please assign an owner to the final doc edits and send to publishing.

Let me know if that works.",Request / Action Item
Task follow-up,"Please assign an owner to the final doc edits and send to publishing.

Thoughts?",Request / Action Item
Request for input,"Please review the attached summary and send me your notes before our meeting at 3.

Thanks!",Request / Action Item
Need approval,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Thanks!",Request / Action Item
Request for input,"Please assign an owner to the final doc edits and send to publishing.

Thoughts?",Request / Action Item
Can you take this?,We need to respond to the partner inquiry by Friday can someone own that?,Request / Action Item
Action needed on report,We need to respond to the partner inquiry by Friday can someone own that?,Request / Action Item
Request for input,Please assign an owner to the final doc edits and send to publishing.,Request / Action Item
Request for input,"Hoping to get your approval on the vendor shortlist by COB today.

Thoughts?",Request / Action Item
Need approval,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Let me know if that works.",Request / Action Item
Can you take this?,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Thanks!",Request / Action Item
Can you take this?,"Hoping to get your approval on the vendor shortlist by COB today.

Thanks!",Request / Action Item
Request for input,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Talk soon.",Request / Action Item
Request for input,"We need to respond to the partner inquiry by Friday can someone own that?

Thanks!",Request / Action Item
Request for input,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Let me know if that works.",Request / Action Item
Request for input,We need to respond to the partner inquiry by Friday can someone own that?,Request / Action Item
Action needed on report,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Let me know if that works.",Request / Action Item
Task follow-up,Can you take the lead on documenting this process? It needs to go into the wiki this week.,Request / Action Item
Need approval,We need to respond to the partner inquiry by Friday can someone own that?,Request / Action Item
Request for input,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Thoughts?",Request / Action Item
Action needed on report,"Please review the attached summary and send me your notes before our meeting at 3.

Talk soon.",Request / Action Item
Need approval,"We need to respond to the partner inquiry by Friday can someone own that?

Talk soon.",Request / Action Item
Need approval,"Please assign an owner to the final doc edits and send to publishing.

Talk soon.",Request / Action Item
Need approval,"We need to respond to the partner inquiry by Friday can someone own that?

Thanks!",Request / Action Item
Task follow-up,Please review the attached summary and send me your notes before our meeting at 3.,Request / Action Item
Can you take this?,Hoping to get your approval on the vendor shortlist by COB today.,Request / Action Item
Task follow-up,Please assign an owner to the final doc edits and send to publishing.,Request / Action Item
Task follow-up,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Thoughts?",Request / Action Item
Action needed on report,"Please assign an owner to the final doc edits and send to publishing.

Let me know if that works.",Request / Action Item
Request for input,Hoping to get your approval on the vendor shortlist by COB today.,Request / Action Item
Request for input,"Hoping to get your approval on the vendor shortlist by COB today.

Talk soon.",Request / Action Item
Need approval,Can you take the lead on documenting this process? It needs to go into the wiki this week.,Request / Action Item
Need approval,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Talk soon.",Request / Action Item
Action needed on report,"Please assign an owner to the final doc edits and send to publishing.

Thoughts?",Request / Action Item
Can you take this?,"Can you take the lead on documenting this process? It needs to go into the wiki this week.

Talk soon.",Request / Action Item
Request for input,"Hoping to get your approval on the vendor shortlist by COB today.

Thanks!",Request / Action Item
Can you take this?,"We need to respond to the partner inquiry by Friday can someone own that?

Thoughts?",Request / Action Item
