Subject_new,body_clean,manual_label,topic_embed,topic_label
Brokerage Account for EES affiliate,sara great hear entity requiring brokerage account enron energy services limited uk entity company buying shares uk engineering firm called torpy order use facilities management business purchase price torpy million million payable enron corp stock tax reasons enron stock needs purchased market using treasury shares,Meeting / Scheduling,0,Meeting Feedback
FW RESCHEDULED IT SYSTEMS MEETING WSTAN HORTON,steve plan attend meeting kim original message stark cindy sent tuesday march pm watson kimberly hayslett rod corman shelley hotte steve cc campos kathy winters ricki villarreal lillian subject rescheduled systems meeting wstan horton importance high confirmed meeting place friday march pm stans office rod office day,Meeting / Scheduling,0,Meeting Feedback
Ontario Coalition for Standard Physical Bilateral Contracts,following summary ocspbc meeting held morning toronto eei experience andy katz eei elizabeth sager ena legal david perlman constellation presented history eei master created major issues arose creating document based crowd reaction presentation apparent support developing industry standard documentation crowd favour recreating industry consensus approach followed eei master working drafting groups starting place physical vs financial nature market notwithstanding consensus forward alternative approaches proposed starting place proposed group start eei master create canadian version document proceed create detailed description products greg johnstons work great benefit group anxious copy enrons version canadianized eei master ontario power generation proposed alternative form based isda opgs rationale approach imo market rules provide physical transactions place assertion hotly debated imo experts hand did use clarify matter said market rules subject interpretation understanding welcome support criticism notwithstanding pool settlement mechanism provided somewhat similar nepool deals structured create obligation seller deliver cause delivered physical power parties present supported enron position preferred start eei document suspect support based animosity opg support enron understanding issue steps group concluded main issue meeting discussion physicalfinancial issue outlined help determine appropriate starting place meeting scheduled november group formed initial drafting committee consisting enron canada ampco transalta lawyer smith lyons apparent representing client martine band lawyer power budd apparent representing client main drafter market rules toronto hydro dan pastoric consultant hydro ae sharp opg imo bruce power british energy sms energy think great benefit provide ocspbc working group draft canadian eei form greg preparing think imperative resolve outstanding issues regard suggest elizabeth greg conference friday monday plan draft ready end week greg let know possibility wants involved conference let know meantime work developing product description ontario help opg hump physicalfinancial issue review opg form enabling agreement regards cjg,Meeting / Scheduling,0,Meeting Feedback
NW Update,like saying earlier gas flowing north horn stanfield outage schedule follow pine river june fort nelson starts june june mmcf mmcf june mcmahon prices motivated malin alberta gordondale displacing gas kingsgate story small storage facilities northwest pipeline told mist approximately capacity bcf plymouth approximately capacity bcf clay taking gas rockies think supply offset additional capacity sumas canadian gas used injection clay clay bcf year bcf vs bcf capacity bcf year hope helps question dont hesitate original message lavorato john sent friday june stephane brodeurtorectect cc mckay jonathan subject nw update gas isnt going jackson going original message stephane brodeurtorectect sent friday june lavorato john subject nw update file nw updatexls,Meeting / Scheduling,0,Meeting Feedback
Expense Account,rejected expense account resubmit mark taylor,Other / Uncategorized,0,Meeting Feedback
Instinet and other platforms in the name of ENA or ECT Investments Inc,john hi aware structuring tax purposes uk corporate agent actuallly formed formation happen today tomorrow actual agreements ena ect investments provide information instinet trading platforms interested transacting just fyi instinet people merely waiting agent agreement order proceed let know questions sara,Announcement / Info,0,Meeting Feedback
Celebration,asked patti send sharron list employees energy operations big list managers manageable list effort went meeting didnt know following just wanted let know asked patti,Meeting / Scheduling,0,Meeting Feedback
Draft letter Glenn McCullough Jr Candidate for TVA Chairman,forwarded ginger dernehlnaenron pm lora sullivan pm ginger dernehlnaenronenron cc subject draft letter glenn mccullough jr candidate tva chairman ginger linda thought sent draft letter ken lay clay johnson glenn mcculloughs serving chairman tva rick locate sent documents lotus notes file hope good weekend really summer weekend weve glorious suspect familiar summer houston l,Legal / Compliance,0,Meeting Feedback
FW NDA Aspen Technologies,peter trying catch facsimile original final nda appears did receive fax friday seen forwarded signed document check advise,Legal / Compliance,0,Meeting Feedback
not much of rally on afghan bombing,brent puked pretty hard fridayprobably good gets sell puppy benefit make sure look closely relative storage levels prices levels btus relationahips recall bizarre lower end spectrumits good couple graphs stocks chart btus equi chart vs vs diffs access info id send itbut enron systems takes hours connnect houston drive,Meeting / Scheduling,0,Meeting Feedback
FW Increased Security at Enron Center,original message enron announcementscorpenronenron behalf corporate securityenron sent friday october enron houstonenron subject increased security enron center late october th received information nonspecific threat enron center communicated law enforcement officials threat unsubstantiated merit nonetheless threats seriously increased security presence enron center observe suspicious behavior security,HR / Personal,0,Meeting Feedback
Status Report,steve chance time read david merrills status report frankly think trying best ebs tasks given having said having received report going write email indicating afraid continue david role just returned tokyo office opening meetings saw sanjay confirmed imminent new role ebs asia anthony duenner president ebs asia white head ebs asia trading david simply does enjoy confidence commercial clients ebs notwithstanding comments level effort turning problem single thing cumulation things list think totality feeds general view probably decent fit old enron apachi assetfocussed use diplomatic experience open doors projects enron person terms culture isolated singapore probably helped inculcated company culture ebs enron asia taking merchant business focus just does chris hunt apachi jim row exebs encoureaged developpursue origination leads ebs does want doing assetfocussed stuff keeps tossing way enrgy groups grating given simply getting message company moved away assets white tells david performed meeting single data point known enron europe days particularly critical person david exacerbates insecure role trying hard sell clientscustomers internally teidous frankly source davids problems think illserved donald lassere xixi associate confident conducted know whispering campaign does know doing expert filed generally acting like pair juveniles come effort bring sense stability order clients dont know supposed doing event simply prospect persuading ebs people david chance think doing favours pushing role washington sure need davids skill sets let david thoughts terms supporting ebs asia think new guy hired london quite capably biz houston told sanjay contemplating singapore eitheerr case guy probably effective standpoint read business prefer singapore tokyo houston people houston want closer frankly think mistake try build business asia houston sanjay mentioned guy general counsel dabhol power company discretely check jane wilson impressions communications literatespecialised look forward ideas mcs forwarded mark schroederlonect david merrillenrondevelopment mark schroederect cc subject status report mark status report met anthony duenner friday korea approved expenses budget consulting work hong kong needs korean work law firm new decision bandwidth trading continuing expenses present tariff consultant japan separate emails copied concern taken care going far new assignment,Meeting / Scheduling,0,Meeting Feedback
Turbines,obviously going complicate increase cost transaction way push need break contracts sets document sets assigning docs turbopark hard challenge time frame kay stephen thomeect ccampbellkslawcom jkefferkslawcom carlos solenaenronenron kay manncorpenronenron cc subject turbines catherine john just received panda regarding project company structure forwarded stephen thomehouect lori holt lorihpandaenergycom stephenthomeenroncom cc jimmy teringo jimmytdallaspandapandaenergycom subject turbines steve correct assumptions turbine different lps panda west power lp panda west power ii lp panda west poweriii lp panda west power iv lp advise additional questions regards lori,Finance / Budget,0,Meeting Feedback
Errata To the Rate Design Testimony of Enron Energy Services Inc,attached errata prepared direct testimony harry j kingerski behalf enron energy services errata changes original version highlighted version offered evidence mr kingerski testifies tomorrow april additional copies testimony available hearing room xdoc jeanne bennett attorney enron energy services xdoc,Other / Uncategorized,0,Meeting Feedback
YK Site Directions,forwarded mitch robinsoncorpenron katherine padillaenrondevelopment mitch robinsoncorpenronenron cc tom callaghanenrondevelopmentenrondevelopment ross newlinenrondevelopmentenrondevelopment cecilia ramireznaenronenron subject yk site directions mitch requestplease attached wheatland lincoln gleason waiting reponse doyle,Meeting / Scheduling,0,Meeting Feedback
Cargill,working master cargill debra perlingiere enron north america corp legal department smith street eb houston texas dperlinenroncom phone fax,Legal / Compliance,0,Meeting Feedback
,said better brian hendonenron communications pm gerald nemechouectect cc subject theres wrong letting girls know youre money want party,Other / Uncategorized,0,Meeting Feedback
Liz,marcela faxed morning received liz marcela white jetcharttavaerocom gregwhalleyenroncom cc subject liz liz did credit card form soon chance complete return fax thank need prior trip departing week thank marcela,Other / Uncategorized,0,Meeting Feedback
ABBGE,attched revised abb agreement forwarded kathleen carnahannaenron pm kathleen carnahan pm kay manncorpenronenron cc pthompsonakllpcom ccobbakllpcom subject abbge attached revised abb agreement exhibit b exhibit b irrelevant data sheets deleted document signed abb kay mann pm pthompsonakllpcom ccobbakllpcom cc kathleen carnahannaenronenron subject abbge abb ge agreements caed signed abb ge revision abb agreement deleting irrelevant data sheets kathleen carnahan send,Report / Summary,0,Meeting Feedback
COU Answers,forwarded todd petersonenrondevelopment pm nancy corbet todd petersonenrondevelopment cc masseyearentfoxcom basusarentfoxcom subject cou answers suggest use note response jane really necessary discuss gene point send note fyi subrogation issue sent language malaysia cou relief subrogation amended reciprocal insistance malaysians accepted concept cous note mike says assumes ok kind change clause talks incident nancy,Support / Technical Issue,0,Meeting Feedback
New York Hotel,im curious kay mannenron pm suzanne adamshouectect cc subject new york hotel ask question blue suzanne adamsect pm kay manncorpenronenron cc subject new york hotel ask question knew answer kay mannenron pm suzanne adamshouectect cc subject new york hotel ask question usually heard rumor did hear suzanne adamsect pm kay manncorpenronenron cc subject new york hotel new york hilton sounds good location good paying dont want spend fortune emailed nellie klaubergs office recommendationsconnections know make sure bills paid going doing business vacation days im going charge just dont think thats right guys new additions group kay mannenron pm suzanne adamshouectect cc sheilatweedenroncomect danlyonsenroncomect subject new york hotel stayed current favorite omni favorite locations little deli like shop street buy reasonably priced bagels cokes year stayed marriott marquis big right times square mark snooty stayed places didnt like names escape ive seen smaller hotels look nice check map remember names kay suzanne adamsect pm sheilatweedenroncom danlyonsenroncom kaymannenroncom cc subject new york hotel guys know mayflower looking hotel new york christmas forwarded suzanne adamshouect pm doherty ric ricdohertycompaqcom pm suzanne adams doherty email suzanneadamsenroncom cc subject new york hotel people know placeit pam scott stayed really liked itrecommended brysch ,Finance / Budget,0,Meeting Feedback
NOAA Letter,attached final draft approved jim fallon lynda clemmons followup letter commerce secretary daley ken lay discussing enrons concerns weather data services provided noaa ken lay office tomorrow sign hes delivery secretary daley ccs tomorrow jeff,Legal / Compliance,0,Meeting Feedback
Lawyer,need thing forward suspect problem basically lawyers know stop things way play role global society handicaps lay rest world chance original message vincejkaminskienroncom macmilliwhartonupennedu cc vincejkaminskienroncom sent pm subject lawyer ian sorry delay getting challenge did anticipate talked time real options internal seminar materials prepared collaboration professor school sensitivity regarding intellectual property rights ability distribute materials outside enron time work issue vince macmillan ian macmilliwhartonupennedu vincejkaminskienroncom vincejkaminskienroncom cc subject lawyer heard lawyer like whar materials using assess work topic real options enron,Meeting / Scheduling,0,Meeting Feedback
,welcome like doc sign accepted remarks debra perlingiere enron north america corp legal department smith street eb houston texas dperlinenroncom phone fax,Legal / Compliance,0,Meeting Feedback
Brazilian Regulations for Swaps Prepays,sara attached memo received tozzini freire yesterday notice memo addresses gustavos questions corrects certain assumptions email sara shackletonect pm andrea bertoneenrondevelopmentenrondevelopment cc brent hendryenrondevelopmentenrondevelopment subject brazilian regulations swaps prepays help understand tozzini memoranda exist address financial swaps derivatives emailed michael attachment think response antonio felix added comments attachment clear aware tozzini memos dated physical trading energy local derivatives market lets start point,Legal / Compliance,0,Meeting Feedback
Tracking Legal Text Changes,agree electronic tracking things good idea electronic manual admissable electronic strikes reliable im concerned witht effectiveness notification clear adding line ticker satisfactory fact clearly satisfactory changes eta gtc documents clicked changes remaining question highlight changes significant gray area changes long descriptions david forsterenron jay webbhouectect mark taylorhouectect mark dilworthlonectect sheri thomashouectect amita gosalialonectect dale neunerhouectect cc subject tracking legal text changes important track given notification parties changes long descriptions gtceta wording standard form eta does contain notice requirements modified parties say notice regardless obligated eta notice important prove ensure internal log change notifications dates text jaymark developed notification process electronic log particular ticker item appeared removed website assume sort built text field account possible multiple addtions removals simple hard reliable manual log generated manually hopefully admissable court mark comment sheriamitadale solution ensure coordinate sort manually maintained notice log,Legal / Compliance,0,Meeting Feedback
Barclays Confirmation,cordially mary cook enron north america corp smith th floor legal houston texas fax marycookenroncom,Legal / Compliance,0,Meeting Feedback
order in TWPNM proceeding,yesterday commission issued draft order transwesterns request rehearing docket rp asked commission remove restriction months tw acquire capacity pnm order reads pertinent present time firm capacity available pnms peak periods firm capacity pnms subject recall pnm order maintain service core customers future circumstances change transwestern able acquire firm capacity pnm subject recall prior commitment transwestern transwestern required file revised tariff sheet reflect thte determinations order acquire furm capacity peak period questions let know,Meeting / Scheduling,0,Meeting Feedback
Sunday at,forwarded kay manncorpenron pm dan lyonsect pm kay manncorpenronenron rstephensbracepattcom cc subject sunday dinner ish sundayrob know therekay test onstarregistered trademark systemthe address crestwood houston onstarregistered trademark fails telepone unlisted number rescue gifts pleasedress danjoe casualand know means regards rob xoxoxo kay,Legal / Compliance,0,Meeting Feedback
Enron Net Works and Enron Global Strategic Sourcing announce new procedure for using Enron telephone number,know enron net works enw enron global strategic sourcing gss recently executed twoyear agreement mci worldcom serve enrons primary telecommunications provider previous communication indicated provide detailed information available beginning friday october cst procedure calling enrons houston offices international locations excluding canada using enron phone number change new procedure follows dial worldphone international access number country located country access code available attached wallet card accessible following link  prompted pin number calling cards pin numbers required use service users respond dialing enron asked enter destination dial enron reach enrons corporate offices houston procedure used enron worldphone international locations calling u s canada continue dial enron questions regarding commercial aspects agreement feel free contact tom moore gss senior contract manager technical issues contact hasan imam enw manager,Meeting / Scheduling,0,Meeting Feedback
Prepaid Contracts,files carols mary picked yosemite mark handled tana jones taffy milliganhouectect cc sara shackletonhouectect subject prepaid contracts taffy finance deals sara worked work copies isda masters guy audit group check lotus notes blue files check wsara forwarded tana joneshouect brad lawson pm tanajonesenroncom cc subject prepaid contracts tana listing discussed chase iii chase mahonia iii chase iv delta rosevelt truman jethro yosemite bridge yosemite yosemite ii yosemite iii questions just im located x eba,Finance / Budget,0,Meeting Feedback
,kim address hr website old pay stubs im trying sort parking situation thanx chris,HR / Personal,0,Meeting Feedback
Silverado Meeting,sara charles press business able attend silverado meeting best jim derrick original message committee corporate general counsel business law section corpgenmailabanetorgenron behalf annlinnehanpbcom sent wednesday september corpgenmailabanetorg subject silverado meeting committee corporate general counsel sara moss program chair october meeting silverado country club resort date september charles morgan like opinion committee postpone cancel fall meeting silverado recent tragic events new york washington dc executive committee great program set events understand people want change travel plans response recent events let know view plan attend meeting replying email close business friday september th thank,Meeting / Scheduling,0,Meeting Feedback
We are shorrt PV LLH for,original schedule mws tep gen pvepe xchange epmi srpmirantcisotpvdsp mirant cut ciso mw mw mw refer mirant tag revised schedule mirant owes sink mw mw mw decided provide sink realtime basis check mirant assure sink hours check tep aware new sink,Meeting / Scheduling,0,Meeting Feedback
draft GrammSchumer Electricity bill,sorryyour names listbut computer didnt recongize weird forwarded cynthia sandherrcorpenron pm cynthia sandherr pm joe hillingscorpenronenron joe hartsoecorpenronenron sarah novoselcorpenronenron cc dwatkisbarcepattcom awennervelawcom subject draft grammschumer electricity today fax messenger handdelivery receive page draft electricity deregulation introduced week senators gramm rtx schumer dny friday april th pm est offer legal technical changes return comments handwritten comments document fine communicate directly senators offices document completely confidential internal use comment press know document exists discuss assisted writing politics require course action week introduced recommend make public comment support legislation continues process forward enactment congress contains date certain stranded cost recovery language purpa repeal bundled ferc authority interstate transmission reliability plus nondiscrimination language successfully lobbied congressman barton aware senator gramms support enrons position puhca repeal environmental conditionality tax provisions publics coops nuclear decommissioning successfully drafted communicated transmission language senators attorneys language adjustments pride authorship attorneys confirm caused material defect suggest drafting changes friday language agreed senators section missing environmental provision section men work week essential final passage goal remains addressing grandfathered coal facilities disagreements technical nature disqualify pre constructed coal facilities percentage responsible percentage emissions republican approach qualify facilities operate regulatory approach favored democrats bushgore presidential race swing issue brings ramifications politics bear highest level update issue tomorrow senate holds hearing issue ferc commissioners testifying midamerican group doe procompetition stakeholder group meeting gain consensus plus meeting narucs chuck grey chris mele seek consensus attend meetings enron report continued progress scheduling dr tabors enrons bob schultz congressional hill briefing week discuss dr tabors research price spike proof congress make structural changes interstate rules plus demonstrate enron onlines ability market price inefficiency finally participate team drafting exercise midamerican compromise right refusal transmission language dan watkiss representative represented sherman besty moler randy davis effort include bennett johnston ace group midamerican fold did midamerican add separation market transmission function language context rto language progress continues house session week month provide opportunities enron continue intensifying legislative efforts date strategy enron laid months ago playing tracks consensus reliability crisis receiving traction just need dominoes successfully laid strategy months ago continue falling feel free need additional information questions,Meeting / Scheduling,0,Meeting Feedback
Space on,fyi forwarded rick buyhouect pm joseph deffnerenronenronxgate rick buyhouectect cc subject space rick plans stay street building opens july,Announcement / Info,0,Meeting Feedback
lunch,suggest reschedule important meeting think cut little short open tues thurs fri week tues fri week frazier susan scott dttrandukeenergycom ccaldwellvelawcom frazier kingfgtenronenron cc subject lunch sorry going able make lunch today bug week gotten worse certainly want expose fine want meet reschedule later week kindest regards susan,Meeting / Scheduling,0,Meeting Feedback
Unanimous Consent of Directors,customary prepare unanimous consents directors transactions actions required relevant bylaws andor certificate incorporation consider carefully unanimous consents directors necessary appropriate particular transaction transaction significant transaction evidence authority required legal opinion doubt review bylaws certificate incorporation relevant entity discuss matter member office general counsel thank,Legal / Compliance,0,Meeting Feedback
Proposed contract language,dan worth given hpl leave enron fold ill start aeps credit group roche accept gtc execpt crucial collateral threshold suggest language comments lee forwarded lee l papayotihouect pm radigan william j purcparsippany williamjradiganrochecom pm leelpapayotienroncom leelpapayotienroncom cc griffith bob procfreeport bobgriffithrochecom subject proposed contract language lee presently approved following paragraph regards hedging responsibility natural gas suppliers lock prices futures buying paragraph acceptable lieu article hpls terms conditions financial responsibility event hpls sole good faith business judgment exercised manner consistent general commercial standards hpl reasonable grounds insecurity rvis ability perform obligations agreement hpl demand adequate assurance performance rvi adequate assurance shall mean limited sufficient security form term reasonably acceptable hpl including limited standby irrevocable letter credit rvi fails deliver adequate assurance business days following receipt written request hpl rvi shall considered default agreement similarly event rvis sole good faith business judgment exercised manner consistent general commercial standards rvi reasonable grounds insecurity hpls ability perform obligations agreement rvi demand adequate assurance performance hpl adequate assurance shall mean limited sufficient security form term reasonably acceptable rvi including limited standby irrevocable letter credit hpl fails deliver adequate assurance business days following receipt written request rvi hpl shall considered default agreement original message leelpapayotienroncom sent friday pm wiilliam radigan cc bob griffith subject proposed contract language mr radigan developed language required able enter fixed price transaction freeport plant existing physical contract older format proved cumbersome modify enter new agreement fixed price volume follows attached file rochegtccrfmdoc volumes fixed price volumes continue flow existing agreement new contract volumes meter dicsuss chance review lee papayoti,Finance / Budget,0,Meeting Feedback
FW Payment of GE Invoice,kay id like hold payment invoice receive consent ge update original message walker rebecca sent wednesday june jacoby ben cc booth chris dennis tonya clark catherine edmonds marcus subject payment ge invoice ben turbopark funds request payments month needs submitted tuesday june th request covers period june th july th planning pay mm invoice ge time period accounting request funds sure payment better request funds case payment treated actual month backed advance month let know course action like,Finance / Budget,0,Meeting Feedback
LUNCH,ruby week gotten shot hell mom hospital big deal just inconvenience free week lunch day let know mary,Other / Uncategorized,0,Meeting Feedback
Priority List for the Midwest,creation liquid functioning wholesale market midwest extension retail market consolidation rto miso enforcement native load provisions ohio west virginia open new markets deregulation missouri indiana iowa support ees clinton energy ena deals illinois ohio later michigan manage risk existing ees deals illinois ohio tennessee wv states support enas midmarket group developing aggregation deals ohio participation deregulation implementation proceedings michigan west virginia arkansas louisiana support ebs certifications issues midwest support gas asset management deals columbia gasnisource manage gas deals peoples support power plant projects manage risk control areas,Project Update,0,Meeting Feedback
Fwd FW FW Please Forward,hope wonderful weekend reasons seasons lifetime read know reason sent people come life reason season lifetime figure know person life reason usually meet need expressed come assist difficulty provide guidance support aid physically emotionally spiritually like godsend reason need wrong doing inconvenient time person say bring relationship end die walk away act force stand realize need met desire fulfilled work prayer sent answered time people come life season turn come share grow learn bring experience peace make laugh teach usually unbelievable joy believe real season lifetime relationships teach lifetime lessons things build order solid emotional foundation job accept lesson love person learned use relationships areas life said love blind friendship clairvoyant thank life stop just smile dont want people love people love dont feel embarrassed results send friend online including person sent replies need work people skills replies youre nice need outgoing replies picked friends replies downright popular totally awesome work like dont need money love like youve hurt dance like watching,Meeting / Scheduling,0,Meeting Feedback
,u got listen internet best jeff,Other / Uncategorized,0,Meeting Feedback
NESA HEA nd Annual Charity Golf Tournament,nesa hea nd annual charity golf tournament held monday march champions golf club houston texas registration sponsorship information attached word documents contact nesa headquarters problems attached files download information web site   invite letter new sponsorsdoc invite letter sponsor registration formdoc invite letter new sponsorsdoc invite letter sponsor registration formdoc,Legal / Compliance,0,Meeting Feedback
Gas Accord II Presentations from October Workshop,confidential settlement material cpuc rule gas accord ii rule list attached electronic versions presentations october gas accord ii workshop reminder workshop tuesday november wednesday november plan start sessions little earlier topics demandsupply forecasts supply reliability capital expenditure forecasts direct connects local transmission rate design options provide hours day present views issues andor options thank participation gas accord ii workshops feel free contact questions concerns suggestions frank lindh ray williams attorney director frlpgecom rdwpgecom balancing workshopppt transaction information workshopppt open season rules workshopppt core procurement workshopppt core aggregation workshopppt agenda workshopdoc balancing workshopppt transaction information workshopppt open season rules workshopppt core procurement workshopppt core aggregation workshopppt agenda workshopdoc,Legal / Compliance,0,Meeting Feedback
,hey sweet cheekshow hell yahows bpa bet therelet know vp powerhey im going make partyi completely flaked lunch dinner week love ya lisa,Other / Uncategorized,0,Meeting Feedback
FW UBSW Orientation Thursday For those that did not attend the Houstonian Sessions,filled forms session attend thursday instead trying figure ina original message clyatt julie behalf davies neil sentmonday february pm toadamik darren adams jacqueline p ahsan habib alexander kim d allen diana allen phillip k althaus jason amador susan aman aman ullah anastas sherry arellano fabian dan arumbakkam ravi austin chr aybar luis baker natalie balasundaram arun ballinger ted ballme r charles barber michael bass eric basu nilay baumbach david baxt er bryce behney chris belt cedric beyer troy bhatia randy black tamara jae bode gary brawner sandra f brennan ryan breslau craig buckley karen bulbes victor burgess simon cashin janine castillo m ichael cheng john christiansen suzanne cioffi diana clause kristen clyatt julie coles frank cox paige cummings david curless aman da davies neil deleon roberto devereaux janet dietrich dan dolan michael dziadek keith elliott clay ermis frank ewing linda j fitz patrick amy frihart bryant gay randall l gichana doug gilbert geo rge n giron darron c gossett jeffrey c grigsby mike gubser marli n guerra claudia hall joe hall mark hanson kristen j hillis kimb erly hogan irena d holst keith hungerford james jacobs charles ja mes matthew jaquet tammy jarrett anthony johnston jamey jones bra d jones monte kaiser jared kandavelushivshankar keiser kam knox larkin brian lavorato john le rick lenhart matthew link kath y loibl kori love phillip m maggi mike marcinkowski danielle mart thomas larry mcauliffe bob mckay jonathan mclaughlin jr errol mcnair darren mcnair jason mendel shelly mendoza genaro mil ler stephanie mills bruce mims patrice l moore kevin g muschar d aniel myers donnie nash acey neal scott oh john olney matthew ol sen michael oquinn kari orourke ryan otto charles h oxley david palmer b scott perich stephen pinion richard qavi faheem quigley dutch rangel ina ray edward reitmeyer jay rhodes trey ring andre rode tina rub jenny rybarski amanda schoppe tammie severson rus s shipos jennifer shishido scott shively hunter s shortt steve sh upak john slone jeanie smith bruce smith mathew south steven p s prowls cathy staggs micah steiner david storey geoff sullivan patt taylor john taylor joseph thelen todd tholt jane m thompson njamin tiner brent townsend judy tycholiz barry uribe carlos valde s john van arsdall leah vargas laura vickers frank videtto melissa vuittonet laura ward kim s houston weldon v charles werner jon whitehurst kevin williams jason trading winfree oneal d worthing ashley young becky zhang eddie subjectubsw orientation thursday did attend h oustonian sessions date thursday february th location orientation split sessions divided alphaorder ses sions run pm pm pm encourage attend designated session valuable infor mation presented opportunity answers questions speed things tomorrow filing attached forms alternat ively complete session letters k pm session letters lz reply email attending regards neil davies,HR / Personal,0,Meeting Feedback
Hi,leaving weeks pretty soon shit nice timing winter chris ill think snow im golf course cd,HR / Personal,0,Meeting Feedback
Enron HPL Actuals for October,teco tap enron hpl iferc ls hpl lsk ic hpl iferc,Other / Uncategorized,0,Meeting Feedback
Allstom Esca Call Summary,forwarded gloria solishouect christi l nicolay pm gloria solishouectect cc subject allstom esca summary forward steve kean email isnt working forwarded christi l nicolayhouect pm christi l nicolay pm steven j keanhoueesees cc subject allstom esca summary fyi exciting forwarded christi l nicolayhouect pm christi l nicolay pm joe hartsoecorpenronenron sarah novoselcorpenronenron cc subject allstom esca summary forwarded christi l nicolayhouect pm thane twiggsenrondevelopment pm christi l nicolayhouectect ron tapscottect james d steffesees lloyd willect charles yeungect jeff brownees janice r mooreect cc richard shapiroees subject allstom esca summary good point need clarify able join jd said clear preference lnp willing look options christi l nicolayect pm thane twiggsenrondevelopmentenrondevelopment cc subject allstom esca summary thane thought jd said pjm did clear preference lmp open ideas thane twiggsenrondevelopment pm christi l nicolayect ron tapscottect james d steffesees lloyd willect charles yeungect jeff brownees janice r mooreect cc richard shapiroees subject allstom esca summary unable participate brief summary steps esca summary additional issues thoughts progression markets distribute received esca received permission pjm disclose party interested staffingoperation market ready logical candidate addition expressed flagship member team subject enrons wishes companies participate group pjm clear preference lnp process putting second meeting finalize want markets incorporate esca comments possible overlaps products services discussed best candidates participate pjm apx calpx,Meeting / Scheduling,0,Meeting Feedback
Organizational Announcement,enron global markets ended year great deal momentum high expectations order better focus expand various businesses global markets pleased announce following organizational changes crude products group reorganized product lines order better focu s maximize coverage increase marketmaking abilities following individuals leading groups report directly john nowlan global crude oil don schroeder white manage global crude oil books don s emphasis development expansion physical crude positions domestically abroad manage various financial crude positions globally focus developing books distillate chris mahoney responsibility distillate positions chris focus developing global distillate strategy building business physically financially global fuel oil niamh clarke expand role managing global fuel oil resid positions emphasis placed reestablishing enron financi al fuel market developing physical fuel strategy global gasoline components jim goughary assume responsibility global gasoline components business following expansion european marke t look forward jim expanding presence asian markets global lpg erik hansen adam gross responsible development execution global lpg trading strategy guidance look expand presence asian pacific markets continuing grow european operations petrochemical plastics stuart bland douglas friedman responsible continued development growth petrochemical plastics business wi ll work expand physical financial presence markets fuel management doug leach continue role developing fuel management busines s longterm structural transactions global origination randy maffett joined group lead develop grow global origination activities group randys recent assignment wa s restructuring equity investments ena enron freight new group leadership dan reck developing business intermodal transportation area united states shawn cumberland joined group lead expand origination opportunities business shawns recent assignment coo calme r egion global risk management jere overdyke elected leave enron years service sekse leadership exciting growing business located enrons new york office spendin g significant time houston look forward year feel changes provide focus momentum need deliver record performance congratulate new assignments,Meeting / Scheduling,0,Meeting Feedback
Operations Integration Issues Update for February,attached updated version operations integration issues list houstonportland office christina valdez enron net works llc phone fax christinavaldezenroncom,HR / Personal,0,Meeting Feedback
FW PGE BANKRUPTCY CASE,original message enron announcementscorpenronenron behalf donna lowry sr director rac complianceenron sent wednesday june pm pge listenron subject pge bankruptcy case important aware enron corp member official unsecured creditors committee appointed pacific gas electric company bankruptcy case michael tribolet risk assessment control group enrons designated representative committee assisted lisa mellencamp enron north america corp legal group advised restricted disclosing certain information receive attached ethical wall procedures regarding confidential information enron receive member committee important read procedures promptly print employee certification attached sign return employee certification compliance department directed,Legal / Compliance,0,Meeting Feedback
PGE Complaint Negative CTC PX Credit,attached filing cpuc later today related ees claims negative ctc px credits lawyers continuing refine document discussion big deleted does pges claim rate freeze ended px credit applicable jim forwarded james d steffesnaenron pm harry kingerski pm james d steffesnaenronenron cc subject complaint forwarded harry kingerskinaenron pm robert c williamsenrondevelopment pm harrykingerskienroncom cc subject complaint forwarded robert c williamsenrondevelopment pm mike d smithees pm robert c williamsenrondevelopmentenrondevelopment cc peggy mahoneyhoueesees iris waserhoueesees subject complaint iriscall bob make sure got forwarded mike d smithhouees pm jmb jbennettgmssrcom pm mike smith email msmithenroncom cc subject complaint right best come hours xdoc wait hear jeanne xdoc,Meeting / Scheduling,0,Meeting Feedback
Parttime exempt employees,fyi michelle forwarded michelle cashhouect michelle cash felecia acevedocorpenronenron cc sharon butchercorpenronenron brian schaffercorpenronenron subject parttime exempt employees felicia general correct salary basis test met classified exempt certain exceptions salary basis test example licensed attorneys meet test depends employees doing situation creates problem flsa recommendation obtain information jobs performed employees determine issue fit exceptions probably affirmatively report time hours worked paid overtime rate use hourly rate paid determine overtime rate working hours week issue let know questions michelle felecia acevedoenron pm michelle cashhouectect sharon butchercorpenronenron cc brian schaffercorpenronenron subject parttime exempt employees sharon michelle employees payroll parttime exempt employees pay calculated hourly rate unless understand flsa incorrectly way calculate salaries exempt employees hourly basis reduced hours need determine value job based salary basis treating hourly employees exempt employees exempt employee tracking exception time sick vacation duty time work hours day exempt worker according flsa paid fee basis salary basis hourly basis base let know like help approach getting corrected possibly having covered policy deal employees performing exempt jobs working parttime reduced schedules look forward hearing felecia,Meeting / Scheduling,0,Meeting Feedback
